Companies,URL,Description,Industry,Sub-Industry,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Company Status,Founded Year,City,State,Latest Valuation (M),Date of Exit,Latest Exit Round,Latest Full Year Revenue Min (M),Latest Full Year Revenue Max (M),Revenue Time Period
Moondream AI,moondream.ai,"Moondream AI develops open-source multimodal language models within the artificial intelligence and machine learning sectors. The company provides models that can understand and generate responses to images, including scene description, object detection, and location identification. These models operate across various devices, such as servers, personal computer, mobiles, and edge devices. It was founded in 2024 and is based in Seattle, Washington.",Internet Software & Services,Application & Data Integration,United States,4.50,"Ascend, Felicis, M12",4.50,Seed VC,2024-10-28,Alive / Active,2024,Seattle,Washington,17.32,,,,,
GaiaNet,gaianet.ai,"GaiaNet is a company focused on creating a decentralized ecosystem for artificial intelligence applications within the technology sector. Its main offerings include a platform for deploying scalable AI applications, utilizing open-source large language models, and providing tools for adding specialized knowledge bases and fine-tuning models. The company primarily serves sectors that require AI integration and development, such as tech startups and research institutions. It was founded in 2024 and is based in Berkeley, California.",Internet Software & Services,Application & Data Integration,United States,20.00,"ByteTrade, EVM Capital, Generative Ventures, Mantle, Mirana Ventures, Republic Capital, Al Zarouni, Alex Oak, Amber Group, Billy Luedtke, BitGo, Chainyoda, Ciarra Pardo, Cogitent Ventures, Consensys, FACTBLOCK, G-20 Group, Lex Sokolin, Mantle, Mario Nawfal, MoonPay, NGC Ventures, Outlier Ventures, Paper Ventures, Presto Ventures, Republic, Scott Moore, Scott Parazynski, Selini Capital, SpiderCrypto, Stake Capital, Susquehanna International Group, Taisu Ventures, Vanessa Grellet",10.00,Series A,2025-07-22,Alive / Active,2024,Berkeley,California,,,,,,
Auger,auger.com,"Auger focuses on optimizing global supply chains through the use of artificial intelligence and machine learning within the technology sector. The company offers solutions that enhance real-time decision-making for supply chain management.  It was founded in 2024 and is based in Bellevue, Washington.",Transportation Services,Supply Chain Management Services,United States,100.00,"TechSphere Ventures, Oak HC/FT",100.00,Seed,2024-10-08,Alive / Active,2024,Bellevue,Washington,,,,,,
BrandLight,brandlight.ai,"BrandLight focuses on brand visibility within artificial intelligence (AI) driven search results across various industries. The company provides services that allow brands to monitor and optimize their presence in AI search engines, offering insights and benchmarking to improve performance. BrandLight's solutions are intended for enterprises and agencies utilizing AI data for marketing and brand strategy. It was founded in 2024 and is based in Tel Aviv, Israel.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Israel,5.75,"LG Technology Ventures, Cardumen Capital, David Edelman, G20 Ventures, John Nardone, Sarah Fay, Tony Weisman",5.75,Seed VC,2025-04-16,Alive / Active,2024,Tel Aviv,,,,,,,
Tezi,tezi.ai,"Tezi provides artificial intelligence-driven recruitment solutions within the human resources technology sector. The company develops an AI agent named Max, which automates tasks such as sourcing, screening, and scheduling, allowing human recruiters to focus on strategic activities. It primarily serves the human resource sector. The company was founded in 2024 and is based in Menlo Park, California.",Internet Software & Services,HR & Workforce Management,United States,9.00,"8VC, Afore Capital, Apoorva Mehta, Audacious Ventures, Liquid 2 Ventures, Marco Zappacosta, Prime Set, South Park Commons",9.00,Seed VC,2024-07-31,Alive / Active,2024,Menlo Park,California,27.46,,,,,
PlexeAI,plexe.ai,"PlexeAI focuses on the creation and deployment of machine learning (ML) models using natural language. It operates within the artificial intelligence and machine learning industry. It provides a platform that allows users to build, train, and deploy ML models by describing them in plain English, without the need for coding expertise. PlexeAI primarily serves sectors that require machine learning integration into their applications, such as e-commerce and technology companies. It was founded in 2024 and is based in London, United Kingdom.",IT Services,IT Solutions & Software Development,United Kingdom,0.50,"Network.VC, Sterling Road, Strategxy Ventures, Transpose Platform, Y Combinator",0.50,Convertible Note,2025-06-11,Alive / Active,2024,London,England,,,,,,
Axiom Math,axiommath.ai,"Axiom Math works on artificial intelligence in the AI research industry. The company is developing a self-improving superintelligent reasoner, initially focusing on creating an AI mathematician. It was founded in 2025 and is based in Palo Alto, California.",Internet Software & Services,Education & Training,United States,64.00,"B Capital, Greycroft, Madrona Venture Group, Menlo Ventures, Toyota Ventures",64.00,Seed VC,2025-09-30,Alive / Active,2025,Palo Alto,California,300.00,,,,,
Nurix,nurix.ai,"Nurix specializes in artificial intelligence solutions within the technology sector and focuses on enhancing customer relationships and enterprise productivity. The company offers AI agents that automate end-to-end workflows and provide virtual assistance to improve productivity. Nurix's AI solutions are designed to support sales and customer service functions by automating routine tasks, providing intelligent support, and enabling customer engagement. It was founded in 2024 and is based in San Mateo, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,27.50,"Accel, General Catalyst, Meraki Labs",27.50,Series A,2024-09-24,Alive / Active,2024,San Mateo,California,,,,,,
Minikai,minikai.com,"Minikai provides artificial intelligence (AI) tools for the healthcare sector. They focus on training AI to perform specific tasks relevant to healthcare, aiming to improve knowledge and care processes. It was founded in 2024 and is based in Carlton, Australia.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Australia,1.57,"Melbourne Accelerator Program, Antler, Tidal Ventures",1.57,Seed VC,2025-02-11,Alive / Active,2024,Carlton,Victoria,,,,,,
Rauda AI,rauda.ai,"Rauda AI focuses on customer service automation with artificial intelligence in various industries. The company provides AI agents that automate customer support processes and handle inquiries. Rauda AI serves sectors such as healthcare, insurance, e-commerce, travel, and digital services. It was founded in 2024 and is based in Madrid, Spain.",Internet Software & Services,Customer Relationship Management,Spain,3.38,"AIAIAI, Demium, FIDES Capital, Francois Derbaix, JME Venture Capital, Juanjo Mostazo, Bonsai Partners",2.81,Seed VC - II,2025-09-01,Alive / Active,2024,Madrid,,,,,,,
Peec AI,peec.ai,"Peec AI provides artificial intelligence (AI) search analytics for marketing teams, focusing on brand visibility and performance within AI search platforms. It offers tools to analyze and track a brand's presence in AI search results and benchmark against competitors. It serves the marketing and search engine optimization industry by providing insights related to search engine optimization in the context of AI. It was founded in 2025 and is based in Berlin, Germany.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Germany,29.25,"Angel Invest, Antler Germany, Antler Kenya, Antler Korea, Antler Nigeria, Antler Southeast Asia, Antler Sweden, Antler US, Antler, Combination VC, Foreword, Identity.vc, The Twenty Minute VC, s20 Capital, S20, Singular",21.00,Series A,2025-11-18,Alive / Active,2025,Berlin,,100.00,,,4,4,FY 2025
CuspAI,cusp.ai,"CuspAI focuses on the discovery and development of materials across various sectors. The company uses artificial intelligence (AI) to assist in the creation of materials that could take nature billions of years to perfect. CuspAI serves sectors that require materials solutions, including the technology, energy, and manufacturing industries. It was founded in 2024 and is based in Cambridge, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,130.00,"Basis Set, Dorothy Chou, FJ Labs, Giant Ventures, Hoxton Ventures, Lightspeed Venture Partners, Mehdi Ghissassi, Northzone, Phoenix Court, Tiferes Ventures, Touring Capital, Zero Prime Ventures, Plug and Play Japan, Compute for Climate Fellowship, Durk Kingma, Hyundai Motor Company, NEA, NVentures, Prosus Ventures, Samsung Ventures, Temasek, Thomas Wolf, Zoubin Ghahramani",100.00,Series A,2025-09-10,Alive / Active,2024,Cambridge,England,520.00,,,,,
Viseur AI,viseur.ai,"Viseur AI develops artificial intelligence (AI) solutions for the healthcare sector within medical image diagnostics. It provides AI tools for radiology and digital pathology to support the interpretation of medical images and the analysis of histopathology images. It serves healthcare management, medical research, and clinical integrations. It was founded in 2024 and is based in Ankara, Turkey.",Internet Software & Services,Healthcare,Turkey,1.00,"BIGG Fund, Bal Brothers Ventures, Kayacan Ventures, Decacorn Angels, Turkiye Kalkinma Fonu, AI For Good Innovation Factory, AZ Lab Program, APY TEKMER Hub Investment Program",1.00,Seed,2025-08-27,Alive / Active,2024,Ankara,,7.40,,,,,
Residua AI,residua.ai,"Residua AI focuses on human-AI interaction within the digital space, operating in the artificial intelligence sector. The company specializes in developing AI co-presence technologies that allow for more intuitive, proactive, contextual, and discoverable engagement with AI systems. These technologies are designed to be seamlessly integrated into users' digital environments. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,,United States,1.70,Union Square Ventures,1.70,Seed VC,2024-03-10,Alive / Active,2024,New York,New York,,,,,,
Utopian Labs,utopianlabs.ai,"Utopian Labs offers Artificial Intelligence (AI) technology for the sales sector, focusing on improving sales teams' performance. It offers AI agents and models that automate tasks such as lead research, qualification, and copywriting, as well as providing an application programming interface (API) for integration with existing sales tools. Its AI solutions aim to streamline manual tasks and sales outreach. It was formerly known as Luna. It was founded in 2024 and is based in Palo Alto, California.",Internet Software & Services,"Advertising, Sales & Marketing",United States,2.50,"Pitchdrive, CapitalT, Curiosity Venture Capital, Notion Capital",2.50,Pre-Seed,2023-11-02,Alive / Active,2024,Palo Alto,California,,,,,,
Juna.ai,juna.ai,"Juna.ai provides artificial intelligence (AI) technology for the manufacturing sector, focusing on automating and managing factory operations. The company has AI agents that are integrated into manufacturing systems. It was founded in 2024 and is based in Berlin, Germany.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",Germany,7.50,"John Doerr, Keybridge Venture Partners, Kleiner Perkins, Norrsken VC",7.50,Seed VC,2024-11-18,Alive / Active,2024,Berlin,,,,,,,
Inference.ai,inference.ai,"Inference.ai focuses on GPU virtualization and AI compute solutions within the technology sector. The company provides inference GPUs and services for model training and fine-tuning, which are relevant for AI workloads. Inference.ai serves sectors that require AI and machine learning capabilities, including data centers and AI research facilities. It was founded in 2024 and is based in Palo Alto, California.",Internet Software & Services,Web Development,United States,4.00,"Cherubic Ventures, Fusion Fund, Maple VC",4.00,Seed VC,2024-01-30,Alive / Active,2024,Palo Alto,California,,,,,,
Skyfire,skyfire.xyz,"Skyfire focuses on providing financial services for the machine economy. The company offers a financial stack that enables artificial intelligence agents to perform transactions without the need for credit cards or bank accounts and allows businesses to monetize their products, services, and data to AI agents. It primarily sells to sectors that involve AI technology and digital transactions. The company was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Accounting & Finance,United States,10.00,"Coinbase, Plug and Play Travel & Hospitality, Arca, Arrington Capital, Brevan Howard Digital, Circle, Crossbeam Venture Partners, DRW Trading Group, Draper Associates, Everyrealm, FBG Invest, Gemini, Inception Capital, Intersection Growth Partners, Neuberger Berman, RedBeard Ventures, Ripple, Sfermion, Crypto Startup Accelerator, Coinbase Ventures",1.00,Seed VC - II,2024-10-24,Alive / Active,2024,San Francisco,California,,,,,,
Sentient Labs,sentient.xyz,"Sentient is focused on developing open artificial general intelligence (AGI) within the technology sector. Its main offerings include a platform for managing an artificial intelligence (AI) artifact repository and a blockchain protocol to facilitate AI artifact contracts and exchanges. It primarily serves the technology industry, particularly sectors involved in AI development and blockchain integration. The company was founded in 2024 and is based in Singapore.",Internet Software & Services,Application & Data Integration,Singapore,85.00,"Contango Digital Assets, MH Ventures, Symbolic Capital, WAGMI Ventures, Arrington Capital, Canonical Crypto, Delphi Ventures, Ethereal Ventures, Folius Ventures, Foresight Group, Foresight Ventures, Founders Fund, Framework Ventures, Hack VC, HashKey Capital, Hypersphere Ventures, IDG Capital, Mirana Ventures, Nomad, Pantera Capital, Primitive Ventures, Protagonist Capital, Republic, Robot Ventures, Sky9 Capital, Spartan, Symbolic Capital, Topology, dao5",85.00,Seed VC,2024-03-01,Alive / Active,2024,,,1200.00,,,,,
Physical Intelligence,physicalintelligence.company,"Physical Intelligence works on the integration of general-purpose artificial intelligence into the physical world, with a focus on the robotics sector. The company develops foundation models and learning algorithms that allow robots and physically-actuated devices to perform complex tasks. The technology is aimed at improving the functionality of robots and devices using AI. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,470.00,"Avenir, Avra, Conviction Embed, Emergence Capital, Saraswati Ventures, Greenoaks, Khosla Ventures, Lux Capital, OpenAI Startup Fund, Sequoia Capital, Thrive Capital, Bond, Flat Capital, Jeff Bezos, Redpoint Ventures",400.00,Series A,2024-11-04,Alive / Active,2024,San Francisco,California,2800.00,,,,,
Nim,nim.video,"Nim focuses on artificial intelligence (AI) video production within the technology sector. It offers a platform that enables users to generate and edit videos using AI models and provides advanced controls and the ability to reuse assets. The company primarily caters to the media and entertainment industries. It was founded in 2024 and is based in Denver, Colorado.",Internet Software & Services,Video,United States,2.90,"Insta Ventures, Rocketship.vc, 8808 Ventures, Arash Ferdowsi, Gaingels, Great Oaks Venture Capital, Insta VC, One Way Ventures, SignalFire, Siqi Chen",2.90,Pre-Seed,2024-02-07,Alive / Active,2024,Denver,Colorado,18.00,,,,,
&AI,tryandai.com,"&AI provides artificial intelligence (AI) driven solutions for patent attorneys within the legal technology sector. The company offers tools for patent prosecution, litigation support, and intellectual property management, including prior art searches, claim chart drafting, and patent validity analysis. &AI serves the legal profession, focusing on patent attorneys and law firms. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Legal,United States,,"Y Combinator, BoxGroup, First Round, JJ Fliegelman, Kulveer Taggar, Rich Aberman, SV Angel",6.50,Seed VC,2025-02-06,Alive / Active,2024,San Francisco,California,,,,,,
besimple AI,besimple.ai,"besimple AI engages in data annotation within the artificial intelligence sector. It provides a platform for the data labeling process for machine learning purposes. It supports enterprise deployments. It was founded in 2025 and is based in Redwood City, California.",Internet Software & Services,Database Management,United States,0.50,"SurgePoint Capital, TRAC, Y Combinator",0.50,Convertible Note,2025-08-01,Alive / Active,2025,Redwood City,California,,,,,,
Hamming,hamming.ai,"Hamming specializes in the development and testing of artificial intelligence voice agents within various industries. The company offers services such as automated voice testing, prompt optimization, and active monitoring to ensure the reliability and efficiency of AI voice applications. It primarily serves the technology sector. The company was founded in 2024 and is based in Austin, Texas.",Internet Software & Services,Testing,United States,4.30,"Olive Tree Capital, Orange Collective, Pioneer Fund, Y Combinator, AI Grant, Coalition Operators, Coughdrop Capital, Hiten Shah, Kulveer Taggar, Max Kolysh, Mischief, Pioneer, Ran Makavy, Richard Aberman, Transpose Platform",3.80,Seed VC,2024-12-18,Alive / Active,2024,Austin,Texas,,,,,,
Yampa,yampa.ai,"Yampa develops artificial intelligence (AI) agents for customer service within the technology sector. It provides solutions that offer support, manage customer interactions, and operate across various channels, including chat, voice, and email. Its clientele includes large enterprises that utilize automation and AI integration in their customer service operations. It was founded in 2024 and is based in Paris, France.",Internet Software & Services,Customer Relationship Management,France,3.14,"Arthur Waller, Guillaume Desloges, Partech",3.14,Seed VC,2024-12-12,Alive / Active,2024,Paris,,,,,,,
Sophon,sophon.xyz,"Sophon is an entertainment-focused ecosystem that integrates Web3 technologies into gaming, social media, artificial intelligence, and prediction markets. The company offers a modular rollup platform designed to support high throughput applications. Sophon primarily serves sectors such as the gaming industry and AI application developers. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,10.00,"AstraX Capital, w3coins ventures, HTX Ventures, Huobi Ventures, Maven 11 Capital, OKX Ventures, Paper Ventures, SevenX Ventures, Spartan",10.00,Series A,2024-03-29,Alive / Active,2024,London,England,,,,60,60,FY 2024
cognee,cognee.ai,"cognee operates within the artificial intelligence (AI) domain and focuses on its AI memory engine. Its main offering is a memory engine that works with large language models (LLMs) by mapping knowledge graphs and enhancing data understanding for AI outputs. Its solutions are provided to integrate with existing technology stacks and support various data ingestion sources. It was founded in 2024 and is based in Berlin, Germany.",Internet Software & Services,Application & Data Integration,Germany,1.59,"42CAP, Alexander Dean, Angel Invest, Bob van Luijt, Combination VC",1.59,Seed VC,2024-11-18,Alive / Active,2024,Berlin,,,,,,,
ChatBlu,chatblu-ai.com,"ChatBlu provides artificial intelligence (AI) driven customer support solutions for the e-commerce sector. The company has a platform for creating and customizing AI chatbots that support online stores. ChatBlu's services include integration with third-party platforms, multi-language support, and real-time data analysis. It was founded in 2024 and is based in San Francisco, California.",E-Commerce,E-Commerce Enablement,United States,0.50,"Microsoft for Startups, Google Startups for Sustainable Development, Genoa Entrepreneurship School, Kickstarter, NVIDIA Inception Program, Matador VC",0.50,Pre-Seed,2025-07-03,Alive / Active,2024,San Francisco,California,,2024-12-01,Spinoff / Spinout,,,
Sonauto,sonauto.ai,"Sonauto specializes in software development focusing on artificial intelligence (AI) powered music editing. The company's main service is an AI music editor that transforms user inputs such as prompts, lyrics, and melodies into complete songs across various styles. It primarily serves the music industry. The company was founded in 2024 and is based in New York, New York.",Internet Software & Services,Music,United States,0.50,"Maiora Ventures, Palm Drive Ventures, Rebel Fund, Pioneer Fund, Y Combinator",0.50,Convertible Note,2024-04-04,Alive / Active,2024,New York,New York,,,,,,
Supermaven,supermaven.com,"Supermaven offers artificial intelligence (AI) driven code completion tools for the software development industry. It offers products that provide contextual code suggestions and integrate with popular development environments, catering to both individual programmers and teams. It was founded in 2024 and is based in San Francisco, California. In November 2024, Supermaven was acquired by Anysphere.",Internet Software & Services,Application & Data Integration,United States,12.00,"J12 Ventures, Bessemer Venture Partners, Denis Yarats, John Schulman, Anysphere",12.00,Series A,2024-09-16,Acquired,2024,San Francisco,California,,2024-11-12,Acquired,1,1,FY 2024
AfterQuery,afterquery.com,"AfterQuery is a research lab that focuses on the development of datasets for artificial intelligence (AI) applications. The company provides services such as identifying performance deficiencies in AI models and creating domain-specific training datasets. AfterQuery mainly serves the AI and machine learning sectors by supplying data to support model performance. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,0.50,"BoxGroup, Y Combinator",0.50,Convertible Note,2025-02-01,Alive / Active,2024,San Francisco,California,,,,,,
eRoun & Company,eroun.ai,"eRoun & Company provides generative artificial intellugence (AI) security solutions that allow companies to safely and conveniently use artificial intelligence for security threats specialized in large language models (LLM) composed of artificial neural networks. It was founded in 2024 and is based in Seoul, South Korea.",Internet Software & Services,Monitoring & Security,South Korea,1.39,"MARK and Company, Yoonmin Foundation, Deep Tech TIPS, KB Investment",1.39,Seed VC,2025-08-01,Alive / Active,2024,Seoul,,,,,,,
Solomon,solomonlegal.ai,"Solomon focuses on the use of artificial intelligence in tax practice. Its offerings include solutions that automate tax processes. The company primarily serves the financial technology sector. Solomon was formerly known as Questive AI. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Legal,United States,15.75,"Bessemer Venture Partners, Base Ventures, Crew Capital, Dunamu & Partners",6.80,Series A,2025-07-23,Alive / Active,2024,New York,New York,,,,1,1,FY 2025
V2 Digital,v2.digital,"V2 Digital is a consultancy in the technology sector, focusing on Data and AI. The company provides services in strategy and advisory, data analytics and insights, artificial intelligence, data and application modernization, and the development of intelligent platforms. V2 Digital serves sectors including financial services, energy and utilities, and retail, offering solutions aimed at improving operational efficiency and technology integration. It was founded in 2024 and is based in New South Wales, Australia.",Consulting & Outsourcing,Business Performance Management,Australia,19.72,Columbia Capital,19.72,Series A,2024-05-09,Alive / Active,2024,,New South Wales,,,,,,
Hooky,hooky.co,"Hooky focuses on providing an end-to-end vocal artificial intelligence solution for the music industry. The company offers technology for artists and producers to create music using artificial intelligence. Its service is designed to assist in the legal creation of new musical hits by utilizing artificial intelligence voices. It was founded in 2024 and is based in Berlin, Germany.",Internet Software & Services,Music,Germany,1.50,"BlueYard Capital, Acequia Capital",1.50,Seed VC,2023-08-14,Alive / Active,2024,Berlin,,7.40,,,,,
MemGPT,memgpt.ai,"MemGPT specializes in advanced artificial intelligence with a focus on enhanced memory capabilities within the technology sector. The company offers AI solutions that feature long-term memory retention, self-editing memory functions, and the ability to handle infinite context windows, catering to users needing customizable and scalable AI tools. These AI systems are designed to process and utilize large volumes of data effectively. It was founded in 2024 and is based in Berkeley, California.",Internet Software & Services,Data Storage,United States,10.00,"University of California Berkeley, Felicis, Letta",10.00,Seed VC,2024-08-13,Acquired,2024,Berkeley,California,70.00,2024-09-23,Acquired,,,
Protege,withprotege.ai,"Protege operates in the artificial intelligence and data curation sectors. The company sources and curates multimodal and real-world AI training data, tailored to specific use cases, research goals, and regulatory standards. Protege serves sectors that require datasets for AI model development, including healthcare, media, and motion capture industries. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Application & Data Integration,United States,35.00,"Bessemer Venture Partners, Flex Capital, Shaper Capital, Adam D'Angelo, Bloomberg Beta, Charles River Ventures, Flex Capital, Liquid 2 Ventures, SV Angel, Travis May, Footwork",25.00,Series A,2025-08-13,Alive / Active,2024,New York,New York,,,,,,
Arva AI,arva.ai,"Arva AI specializes in automating know your business (KYB) processes using artificial intelligence within the compliance and regulatory sectors. It offers AI agents that perform tasks traditionally done by human analysts, such as entity verification, business activity checks, and validation of tax identification numbers, aiming to enhance speed, reduce costs, and improve compliance. Its technology is designed to serve businesses that require KYB checks as part of onboarding or ongoing compliance procedures. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Compliance,United States,3.50,"Plug and Play Travel & Hospitality, Y Combinator, 468 Capital, Amino Capital, Gradient Ventures, Olive Tree Capital, SBS Seed Fund",3.00,Seed VC,2025-01-14,Alive / Active,2024,San Francisco,California,,,,,,
PicoJool,picojool.com,"PicoJool provides optical connectivity solutions within the technology sector, focusing on artificial intelligence and cloud computing. The company offers data transmission products aimed at supporting AI and machine learning applications. PicoJool primarily serves the AI hyperscaler market, supplying infrastructure for data centers. It was founded in 2024 and is based in Palo Alto, California.",Fiber Optics,,United States,12.00,Playground Global,12.00,Series A,2025-11-18,Alive / Active,2024,Palo Alto,California,,,,,,
